Agaricus arvensis     (Horse Mushroom)
Agaricus augustus     (The Prince)
Albatrellus confluens
Albatrellus ovinus     (Sheep Polypore)
Amanita ceciliae     (Snakeskin Grisette)
Amanita fulva     (Tawny grisette)
Amanita muscaria     (Fly Amanita)
Amanita pantherina     (Panther Amanita)
Amanita phalloides     (Death Cap Amanita)
Amanita porphyria     (Grey veiled amanita)
Amanita regalis     (Royal Fly Agaric)
Amanita rubescens     (Blushing Amanita)
Amanita virosa     (Destroying angel)
Armillaria mellea     (Honey Mushroom)
Auriscalpium vulgare     (Pinecone Tooth)
Bankera fuligineoalba     (Blushing Flagrant Tooth)
Boletus badius     (Bay Bolete)
Boletus edulis     (King Bolete)
Boletus pinophilus     (Pinewood King Bolete)
Boletus satanas     (Satan's Bolete)
Boletus subtomentosus     (Yellow-cracking Bolete)
Bondarzewia berkeleyi     (Berkeley's polypore)
Bovista plumbea     (Paltry Puffball)
Calocera viscosa     (Yellow Stagshorn)
Calocybe gambosa     (St George's Mushroom)
Calocybe persicolor     (Pink Lawn Trich)
Cantharellula umbonata     (Grayling)
Cantharellus cibarius     (Common Chantarelle)
Chalciporus piperatus     (Peppery Bolete)
Clitocybe clavipes     (Club-footed Clitocybe)
Clitocybe gibba     (Common Funnel Cap)
Clitocybe nebularis     (Clouded Funnel Cap)
Clitopilus prunulus     (Dread Dough Clitopilus)
Collybia dryophila     (Russet Toughshank)
Coltricia perennis     (Tiger's Eye)
Coprinopsis atramentaria     (Common Ink Cap)
Coprinus comatus     (Shaggy-mane Inky Cap)
Coprinus plicatilis     (Umbrella Inky Cap)
Cortinarius alboviolaceus     (Silvery Violet Cort)
Cortinarius armillatus     (Red-banded Cort)
Cortinarius caperatus     (Gypsy Mushroom)
Cortinarius collinitus
Cortinarius croceus     (Saffron Webcap)
Cortinarius laniger     (Woolly Webcap)
Cortinarius malicorius
Cortinarius mucosus     (Orange Webcap)
Cortinarius orellanus     (Fool's Webcap)
Cortinarius rubellus     (Deadly Webcap)
Cortinarius semisanguineus     (Poison Dye Cort)
Cortinarius traganus     (Gassy webcap)
Craterellus tubaeformis     (Trumpet Chantarelle)
Cystoderma amianthinum     (Earthy Powdercap)
Entoloma sericeum     (Silky Pinkgill)
Entoloma vernum     (Pinkgill mushroom)
Galerina marginata     (Funeral Bell)
Gomphidius glutinosus     (Slimy Spike)
Gyromitra esculenta     (False Morel)
Gyromitra infula     (Hooded false morel)
Hebeloma crustuliniforme     (Poison Pie)
Hebeloma mesophaeum     (Veiled Poisonpie)
Hericium erinaceus     (Lion's mane)
Hortiboletus rubellus     (Ruby Bolete)
Hydnum repandum     (Common Hedgehog Tooth)
Hydnum rufescens     (Terracotta Hedgehog)
Hygrophoropsis aurantiaca     (False Chanterelle)
Hygrophorus camarophyllus     (Arched Wood Wax)
Hygrophorus hypothejus     (Late Fall Wax Cap)
Hypholoma capnoides     (Conifer Tuft)
Hypholoma fasciculare     (Sulphur Tuft)
Hypholoma marginatum     (Snakeskin Brownie)
Inocybe lacera     (Torn-cap Inocybe)
Kuehneromyces mutabilis     (Sheathed Woodtuft)
Laccaria laccata     (Common Laccaria)
Lactarius camphoratus     (Curry Milkcap)
Lactarius deliciosus     (Saffron Milkcap)
Lactarius deterrimus     (Orange milkcap)
Lactarius helvus     (Poison Lactarius)
Lactarius lignyotus     (Rufous Milkcap)
Lactarius mammosus
Lactarius rufus     (Red-hot Lactarius)
